Name,Price,Condition,Shipping
Shop on eBay,$20.00,Brand New,Free shipping
Shop on eBay,$20.00,Brand New,Free shipping
"SGIN Laptop 15.6"""" 4GB DDR4 Memory 128GB SSD Webcam Type-C Mini HDMI WiFi Sliver",EUR 179.00,Brand New,+EUR 8.00 shipping
"SGIN 15.6"""" Laptop 8GB 256GB SSD Computer Intel Qaud-Core Wi-Fi Mini HDMi",EUR 199.00,Brand New,+EUR 8.00 shipping
HP ProBook 640 G1 i5-4310M 4GB 320GB HDD 1366x768 Webcam BT DVD Windows10,EUR 139.90,Very Good - Refurbished,+EUR 20.00 shipping
"SGIN15.6"""" Laptop Computer 8GB DDR4 256GB SSD Quad-Core 2.5GHz FHD Mini HDMI",EUR 189.00,Brand New,+EUR 8.00 shipping
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI DELL,EUR 142.98 to EUR 536.21,Good - Refurbished,+EUR 41.93 shipping estimate
fast laptop DELL HP LENOVO CORE i3 i5 LAPTOP 8GB RAM SSD HDD Wi-Fi WINDOWS 10,EUR 107.23 to EUR 238.31,Pre-Owned,+EUR 27.45 shipping estimate
LENOVO T431S LAPTOP LAPTOP INTEL CORE I7 2.10GHZ RAM 8GB SSD256GB WIN 10,EUR 119.00,Very Good - Refurbished,+EUR 25.00 shipping
New ListingFULL HD Dell Latitude 5410 i5-10310U 10th Gen RAM 8GB NVME SSD 250GB #B134,EUR 13.83,Pre-Owned,+EUR 22.10 shipping estimate
New ListingHP ProBook 450 G6 Intel Core i5-8265U @1.60GHz 8GB Ram 240GB SSD Windows 10 Pro,EUR 87.42,Pre-Owned,+EUR 38.34 shipping
"Lenovo ThinkPad L440 14"" Laptop Intel Core i3 8GB RAM 500GB HDD Windows 10 Pro",EUR 45.05,Pre-Owned,+EUR 44.01 shipping
Dell Laptop Latitude 3190 TouchScreen 8GB RAM 128GB SSD Windows 10 Pro Active,EUR 182.21,Pre-Owned,+EUR 38.58 shipping
"Dell Latitude 5490 14"""" (256GB SSD, Intel Core I5-8350U 8th, 8GB Memory",EUR 167.90,Very Good - Refurbished,+EUR 9.99 shipping
FAST WINDOWS 10 LAPTOP DUAL CORE 1 YEAR WARRANTY WIRELESS 500GB HDD 4GB RAM,EUR 83.40,Good - Refurbished,+EUR 26.80 shipping estimate
New ListingFast Cheap Gaming Laptop i7 Up To 3.40GHz 32GB RAM 1TB SSD Win11 Computer PC,EUR 211.45 to EUR 461.69,Very Good - Refurbished,+EUR 32.09 shipping estimate
"SGIN Laptop 17"""" Computer with 8GB Memory 512GB SSD Quad Core 2.9GHz Mini HDMI",EUR 319.00,Brand New,Free International Shipping
